Stimuli;;;;;;;
-0.57709;;;;;;;
;;;;;;;
EXP 2 | IES SCORE;;;;;;;
;Vocals;Strings;Winds;;;;
;;;;;;;
I;619 (554 | 691);650 (576 | 726);669 (571 | 788);;;;
A;708 (620 | 802);814 (726 | 904);1002 (853 | 1174);;;;
A-I;90 (21 | 164);156 (68 | 242);327 (217 | 455);;;;
;;;;;;;
EXP 2 | IES SCORE (MUSICIANS VS NON-MUSICIANS);;;;;;;
;Vocals;;Strings;;Winds;;
;M;N;M;N;M;N;
I;635 (530 | 753);607 (529 | 686);639 (528 | 767);670 (584 | 776);633 (498 | 827);698 (580 | 856);
A;730 (595 | 888);691 (587 | 812);802 (668 | 982);820 (721 | 929);905 (718 | 1181);1084 (878 | 1307);
A-I;98 (13 | 208);83 (-15 | 182);166 (49 | 306);155 (34 | 260);270 (183 | 365);385 (201 | 603);
;;;;;;;
;;;;;;;
EXP 2 | Anova;;;;;;;
------;------;------;------;;;;
Term;FStat;DF1;DF2;pValue;;;
(Intercept);891.832149132136;1;424;2.52949287820804e-106;;;
ACC;227.874317096547;1;424;1.6337272897959e-41;;;
VOX;61.7932921912327;1;424;3.18318516237904e-14;;;
MUS;1.94729312703265;1;424;0.163609232196605;;;
ACC:VOX;67.0663163922642;1;424;3.11850593783489e-15;;;
ACC:MUS;5.47412887883848;1;424;0.0197632208871031;;;
VOX:MUS;13.0284883073437;1;424;0.000343439197210926;;;
ACC:VOX:MUS;4.10561814657176;1;424;0.0433665344328236;;;
;;;;;;;
;;;;;;;
EXP 2 | GLME ALL;;;;;;;
------;------;------;------;;;;
Name;Estimate;SE;tStat;DF;pValue;Lower;Upper
(Intercept);688.464062290776;23.0536509395345;29.8635588825601;424;2.52949287820789e-106;643.150389318518;733.777735263033
ACC_0;-95.496985653166;6.32618624134235;-15.0955065200392;424;1.6337272897959e-41;-107.931577260961;-83.0623940453706
VOX_0;49.9574749190531;6.35520862725321;7.86087095627658;424;3.18318516237904e-14;37.4658376438496;62.4491121942566
MUS_1;32.1703198336862;23.0536509395345;1.39545445179434;424;0.163609232196605;-13.1433531385709;77.4839928059434
ACC_0:VOX_0;-51.8725146902568;6.33410233495164;-8.18940268836893;424;3.11850593783491e-15;-64.3226659713538;-39.4223634091598
ACC_0:MUS_1;-14.8012870843069;6.32618624134235;-2.33968563675518;424;0.0197632208871031;-27.2358786921023;-2.36669547651154
VOX_0:MUS_1;22.9391238298632;6.35520862725321;3.60949973089675;424;0.000343439197210926;10.4474865546597;35.4307611050667
ACC_0:VOX_0:MUS_1;-12.8343640133367;6.33410233495164;-2.02623250062073;424;0.0433665344328236;-25.2845152944337;-0.384212732239673
;;;;;;;
;;;;;;;
EXP 2 | GLME SUBSET;;;;;;;
------;------;------;------;;;;
Name;Estimate;SE;tStat;DF;pValue;Lower;Upper
(Intercept);588.236853204311;24.8689277880408;23.6534867211761;426;1.33568418070955e-79;539.355774903656;637.117931504965
ACC_1;53.8661475813696;15.0159821387739;3.58725437227831;426;0.000372958096546114;24.3515096789023;83.3807854838369
CAT_Strings;20.3182280761234;18.6340682661167;1.09038068262684;426;0.27616185505204;-16.3079327997711;56.9443889520179
CAT_Winds;5.05060479256216;18.3810635257697;0.274772174389222;426;0.783624483121128;-31.0782630504865;41.1794726356108
ACC_1:CAT_Strings;99.3214039048435;26.2442667463312;3.78449910088374;426;0.000176088343402279;47.7370304769075;150.90577733278
ACC_1:CAT_Winds;242.128879614605;25.9989298762935;9.31303252736507;426;6.69062147953628e-19;191.026727650198;293.231031579012
